Quotazioni Napoli  - Fantagazzetta;;;;;;
Id;R;Nome;Squadra;Qt. A;Qt. I;Diff.
2083;D;BIRASCHI;Genoa;2,3;3,3;-1
2071;D;DUSSENNE;Crotone;2,3;4,3;-2
2037;D;MIANGUE;Cagliari;2,3;1,3;1
575;D;ADNAN;Udinese;2,3;5,3;-3
583;D;HEURTAUX;Udinese;2,3;7,3;-5
714;D;MORGANELLA;Palermo;2,3;3,3;-1
323;D;GENTILETTI;Genoa;2,3;5,3;-3
709;D;COSIC;Empoli;2,3;4,3;-2
2118;D;SUNJIC;Palermo;2,2;4,2;-2
488;D;MESBAH;Crotone;2,2;2,2;0
2052;D;GOMEZ G;Milan;2,2;8,2;-6
2015;D;LETSCHERT;Sassuolo;2,2;6,2;-4
514;D;ANTEI;Sassuolo;2,2;2,2;0
419;D;GONZALEZ G;Palermo;2,2;5,2;-3
260;D;NAGATOMO;Inter;2,2;5,2;-3
2120;D;BASTONI;Atalanta;2,1;2,1;0
765;D;AJETI;Torino;2,1;5,1;-3
142;D;MARIO RUI;Roma;2,1;5,1;-3
1949;D;FORNASIER;Pescara;2,1;4,1;-2
770;D;PEZZELLA;Palermo;2,1;3,1;-1
2055;D;VERMAELEN;Roma;2;9;-7
486;D;CODA;Pescara;2;1;1
17;D;STENDARDO;Pescara;2;2;0
251;D;ANDREOLLI;Inter;1,9;3,1;-1
1928;D;YAO;Inter;1,8;3;-1
8;D;BRIVIO;Genoa;1,8;3;-1
2128;D;SAINSBURY;Inter;1,4;1,4;0
2080;D;AMUZIE;Sampdoria;1,3;1,3;0
1951;D;VITTURINI;Pescara;1,3;1,3;0
108;D;SARDO;Chievo;1,3;1,3;0
50;D;MBAYE;Bologna;1,3;4,3;-3
2129;D;SIMIC L;Sampdoria;1,2;3,2;-2
2109;D;CARLAO;Torino;1,2;3,2;-2
224;D;DE MAIO;Fiorentina;1,2;6,2;-5
255;D;DODO';Sampdoria;1,2;3,2;-2
544;D;AVELAR;Torino;1,2;7,2;-6
262;D;SANTON;Inter;1,2;3,2;-2
1892;D;CLAITON;Crotone;1,2;4,2;-3
16;D;RAIMONDI;Atalanta;1,2;2,2;-1
491;D;SALAMON;Cagliari;1,2;4,2;-3
824;D;ADJAPONG;Sassuolo;1,1;1,1;0
581;D;FARAONI;Udinese;1,1;1,1;0
545;D;BOVO;Pescara;1,1;3,1;-2
427;D;VITIELLO;Palermo;1,1;3,1;-2
357;D;CALABRIA;Milan;1,1;3,1;-2
653;D;ZAMBELLI;Empoli;1,1;2,1;-1
2090;D;ORBAN;Genoa;1;5;-4
2062;D;BASTOS;Lazio;1;6;-5
2005;D;RAJKOVIC;Palermo;1;4;-3
197;D;PAVLOVIC;Sampdoria;1;5;-4
106;D;MATTIELLO;Juventus;1;1;0
394;D;MAGGIO;Napoli;1;2;-1
134;D;BARBA;Empoli;1;4;-3
